
04/10 10:14:33.935 (+ 4247) <<33976>>(RTS) Start of prefault / fault
04/10 10:14:33.940 (+    5) <<33976>>(RTS) CDriver::SimpleReset()
04/10 10:14:34.051 (+  111) <<33976>>(RTS) WRITE: XU;
04/10 10:14:34.051 (+    0) <<33976>>(RTS) READ: DONE;
04/10 10:14:34.051 (+    0) <<33976>>(RTS) ResetVectors()
04/10 10:14:34.051 (+    0) <<33976>>(RTS) ConfigureEx(before batsim adjustment):  NumConvIRequested = 0, NumConvIAvailable = 3, NumI = 3, NumV = 4, NumCurrentOnlyChans = 3, UseLastVAsBat = 0, HasBatterySim = 0, bHasVGens = 1.
04/10 10:14:34.051 (+    0) <<33976>>(RTS) ConfigureEx(after batsim adjustment):  NumConvIRequested = 0, NumConvIAvailable = 3, NumI = 3, NumV = 4, NumCurrentOnlyChans = 3, UseLastVAsBat = 0, HasBatterySim = 0, bHasVGens = 1.
04/10 10:14:34.162 (+  111) <<33976>>(RTS) WRITE: BIV:1:0;
04/10 10:14:34.162 (+    0) <<33976>>(RTS) READ: OK;
04/10 10:14:34.274 (+  112) <<33976>>(RTS) WRITE: BIV:2:0;
04/10 10:14:34.274 (+    0) <<33976>>(RTS) READ: OK;
04/10 10:14:34.385 (+  111) <<33976>>(RTS) WRITE: QHS,
04/10 10:14:34.386 (+    1) <<33976>>(RTS) READ: ACK;
04/10 10:14:34.386 (+    0) <<33976>>(RTS) Sleeping 500 ms followed by RE; due to BIV status change...
04/10 10:14:34.894 (+  508) <<33976>>(RTS) WRITE: RE;
04/10 10:14:34.894 (+    0) <<33976>>(RTS) WRITE: T01CAU,T01HD,T01AD,T02CAU,T02HD,T02AD,T03CAU,T03HD,T03AD,T04CAU,T04HD,T04AD,T05CAU,T05HD,T05AD,T06CAU,T06HD,T06AD,T07CAU,T07HD,T07AD,T08CAU,T08HD,T08AD,T09CAU,T09HD,T09AD,T10CAU,T10HD,T10AD,TR,
04/10 10:14:34.894 (+    0) <<33976>>(RTS) MonitorMode for BIN 1 = 
04/10 10:14:34.894 (+    0) <<33976>>(RTS) LatchMonitor for BIN 1 = 1
04/10 10:14:34.894 (+    0) <<33976>>(RTS) WRITE: t01m,t01sto,t01cal,VFMIN40E,VFMIN00O,,TR,
04/10 10:14:35.005 (+  111) <<33976>>(RTS) WRITE: OCA:ON,
04/10 10:14:35.180 (+  175) <<33976>>(RTS) WRITE: td2,DISON,HBOFF,HBV:OFF,v1,scale1.000,v2,scale1.000,v3,scale1.000,v4,scale1.000,c1,scale1.000,c2,scale1.000,c3,scale1.000,MAXV0.000000,MAXI0.000000,QHS,
04/10 10:14:35.212 (+   32) <<33976>>(RTS) READ: ACK;
