
04/10 10:53:48.801 (+   79) <<17996>>(RTS) WRITE: c1,a4.7600,d0,
04/10 10:53:48.865 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:48.881 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:48.881 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:48.960 (+   79) <<17996>>(RTS) WRITE: c1,a4.7800,d0,
04/10 10:53:49.024 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:49.039 (+   15) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:49.039 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:49.119 (+   80) <<17996>>(RTS) WRITE: c1,a4.8000,d0,
04/10 10:53:49.182 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:49.198 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:49.198 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:49.277 (+   79) <<17996>>(RTS) WRITE: c1,a4.8200,d0,
04/10 10:53:49.341 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:49.357 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:49.357 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:49.436 (+   79) <<17996>>(RTS) WRITE: c1,a4.8400,d0,
04/10 10:53:49.499 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:49.515 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:49.515 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:49.594 (+   79) <<17996>>(RTS) WRITE: c1,a4.8600,d0,
04/10 10:53:49.657 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:49.673 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:49.673 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:49.754 (+   81) <<17996>>(RTS) WRITE: c1,a4.8800,d0,
04/10 10:53:49.818 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:49.834 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:49.834 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:49.913 (+   79) <<17996>>(RTS) WRITE: c1,a4.9000,d0,
04/10 10:53:49.977 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:49.993 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:49.993 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:50.072 (+   79) <<17996>>(RTS) WRITE: c1,a4.9200,d0,
04/10 10:53:50.135 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:50.151 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:50.151 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:50.231 (+   80) <<17996>>(RTS) WRITE: c1,a4.9400,d0,
04/10 10:53:50.294 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:50.310 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:50.310 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:50.390 (+   80) <<17996>>(RTS) WRITE: c1,a4.9600,d0,
04/10 10:53:50.453 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:50.469 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:50.469 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:50.548 (+   79) <<17996>>(RTS) WRITE: c1,a4.9800,d0,
04/10 10:53:50.612 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:50.628 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:50.628 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:50.712 (+   84) <<17996>>(RTS) WRITE: c1,a5.0000,d0,
04/10 10:53:50.776 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:50.792 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:50.792 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:50.871 (+   79) <<17996>>(RTS) WRITE: c1,a5.0200,d0,
04/10 10:53:50.940 (+   69) <<17996>>(RTS) WRITE: qg,
04/10 10:53:50.961 (+   21) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:50.961 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:51.039 (+   78) <<17996>>(RTS) WRITE: c1,a5.0400,d0,
04/10 10:53:51.103 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:51.119 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:51.120 (+    1) <<17996>>(RTS) WRITE: ;
04/10 10:53:51.198 (+   78) <<17996>>(RTS) WRITE: c1,a5.0600,d0,
04/10 10:53:51.261 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:51.277 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:51.277 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:51.358 (+   81) <<17996>>(RTS) WRITE: c1,a5.0800,d0,
04/10 10:53:51.421 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:51.437 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:51.437 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:51.517 (+   80) <<17996>>(RTS) WRITE: c1,a5.1000,d0,
04/10 10:53:51.580 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:51.596 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:51.596 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:51.680 (+   84) <<17996>>(RTS) WRITE: c1,a5.1200,d0,
04/10 10:53:51.743 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:51.760 (+   17) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:51.760 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:51.839 (+   79) <<17996>>(RTS) WRITE: c1,a5.1400,d0,
04/10 10:53:51.903 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:51.919 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:51.919 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:51.998 (+   79) <<17996>>(RTS) WRITE: c1,a5.1600,d0,
04/10 10:53:52.062 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:52.078 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:52.078 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:52.157 (+   79) <<17996>>(RTS) WRITE: c1,a5.1800,d0,
04/10 10:53:52.220 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:52.235 (+   15) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:52.235 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:52.315 (+   80) <<17996>>(RTS) WRITE: c1,a5.2000,d0,
04/10 10:53:52.378 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:52.393 (+   15) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:52.393 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:52.472 (+   79) <<17996>>(RTS) WRITE: c1,a5.2200,d0,
04/10 10:53:52.535 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:52.551 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:52.551 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:52.631 (+   80) <<17996>>(RTS) WRITE: c1,a5.2400,d0,
04/10 10:53:52.695 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:52.711 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:52.711 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:52.790 (+   79) <<17996>>(RTS) WRITE: c1,a5.2600,d0,
04/10 10:53:52.854 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:52.870 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:52.870 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:52.949 (+   79) <<17996>>(RTS) WRITE: c1,a5.2800,d0,
04/10 10:53:53.013 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:53.029 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:53.029 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:53.109 (+   80) <<17996>>(RTS) WRITE: c1,a5.3000,d0,
04/10 10:53:53.172 (+   63) <<17996>>(RTS) WRITE: qg,
04/10 10:53:53.188 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:53.188 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:53.267 (+   79) <<17996>>(RTS) WRITE: c1,a5.3200,d0,
04/10 10:53:53.331 (+   64) <<17996>>(RTS) WRITE: qg,
04/10 10:53:53.347 (+   16) <<17996>>(RTS) READ: GATE0000;
04/10 10:53:53.347 (+    0) <<17996>>(RTS) WRITE: ;
04/10 10:53:53.426 (+   79) <<17996>>(RTS) WRITE: c1,a5.3400,d0,
